source_center,destination_center,n_legs,median_ratio,median_actual_min,median_osrm_min,median_osrm_km,major_route_type,shrunk_ratio
IND342601AAA,IND342902AAA,3,1.9142857142857144,68.0,41.0,39.0015,FTL,1.9247555976032795
IND342602AAC,IND306304AAB,1,2.1627906976744184,93.0,43.0,59.707800000000006,FTL,1.9632477047495418
IND342602AAC,IND311302AAA,2,1.8684210526315788,142.0,76.0,107.55635000000001,FTL,1.9145981676044415
IND342902A1B,IND302014AAA,6,2.4972539384304087,464.5,185.0,244.0446,FTL,2.2136222388462357
IND342902AAA,IND302014AAA,5,2.3870967741935485,458.0,186.0,244.4337,FTL,2.137766100594556
IND343001AAA,IND343029AAB,2,1.3153846153846154,85.5,65.0,70.80345,FTL,1.7763390582927006
IND343029AAB,IND307001AAA,2,1.4,98.0,70.0,77.09475,FTL,1.7974929044465466
IND344001AAA,IND342301AAA,3,1.6485148514851484,333.0,199.0,236.9164,FTL,1.8361653100030908
IND344001AAA,IND345001AAA,6,0.7725949468511297,149.5,194.5,155.6477,FTL,1.351292743056596
IND344001AAA,IND345021AAA,1,1.6625,266.0,160.0,177.2213,FTL,1.8917776050817676
IND344022AAB,IND342301AAA,1,2.4974874371859297,497.0,199.0,238.0381,FTL,2.0110615246797576
IND344022AAB,IND344001AAA,4,1.4525788576300085,99.5,68.5,96.64415,FTL,1.7390258666092406
IND345001AAA,IND342301AAA,1,1.75,210.0,120.0,168.0361,FTL,1.9042776050817678
IND345001AAA,IND345021AAA,4,1.3376623376623376,103.0,77.0,109.54884999999999,FTL,1.6930592586221724
IND345021AAA,IND342301AAA,6,1.4818840579710144,67.5,45.0,62.8452,FTL,1.7059372986165382
IND360003AAA,IND360311AAA,2,2.102307692307692,53.5,25.5,37.8864,Carting,2.136232660781841
IND360311AAA,IND360050AAA,1,1.3777777777777778,62.0,45.0,46.9022,Carting,2.037574811345303
IND360370AAA,IND360410AAA,1,2.4615384615384617,32.0,13.0,16.2596,FTL,2.0059259567301195
IND360410AAA,IND360490AAA,1,3.076923076923077,40.0,13.0,16.9369,FTL,2.093838044642207
IND360490AAA,IND362001AAA,7,2.1621621621621623,80.0,36.0,43.306,FTL,2.055006028515962
IND360510AAB,IND360530AAB,8,1.5192307692307692,39.5,25.5,28.2083,Carting,1.7885065753918212
IND360530AAB,IND362001AAA,11,1.8142857142857143,127.0,69.0,79.2651,Carting,1.9319052211048353
IND360575AAA,IND360510AAB,8,1.7375,69.5,40.0,45.003150000000005,Carting,1.913231850117096
IND361001AAA,IND361305AAC,9,1.6666666666666667,65.0,39.0,53.9585,FTL,1.7719962157048248
IND361305AAC,IND361315AAA,8,1.723908918406072,55.5,32.0,44.301199999999994,FTL,1.8122296130586393
IND361315AAA,IND361335AAA,9,1.5555555555555556,43.0,28.0,40.5641,FTL,1.7053295490381581
IND361335AAA,IND360002AAB,1,1.3368983957219251,250.0,187.0,243.7123,FTL,1.8452630901849
IND362001AAA,IND360370AAA,8,1.9782608695652175,45.5,23.0,32.80485,FTL,1.9575735851495797
IND362001AAA,IND360575AAA,7,1.4216867469879517,118.0,84.0,103.3616,Carting,1.7566963946580774
IND362001AAA,IND362220AAA,10,2.0416666666666665,49.0,24.0,34.604150000000004,Carting,2.0813695355191255
IND362001AAA,IND362265AAA,1,2.142857142857143,120.0,56.0,79.806,Carting,2.146871863499498
IND362150AAA,IND362001AAA,8,1.6492537313432836,110.5,67.0,68.0373,Carting,1.8628054108846865
IND362220AAA,IND362225AAA,5,1.9230769230769231,48.0,25.0,27.9983,Carting,2.0455118651839963
IND362225AAA,IND362265AAA,5,1.75,49.0,27.0,37.798,Carting,1.9668405365126675
IND362265AAA,IND362720AAA,11,2.4444444444444446,87.0,35.0,48.0922,Carting,2.3396549876781316
IND362560AAA,IND362150AAA,8,1.8101092896174862,109.5,61.0,73.2015,Carting,1.9547228727556596
IND362720AAA,IND362560AAA,12,2.0357142857142856,56.0,27.5,38.7319,Carting,2.072989851678376
IND363001AAA,IND363421AAB,9,1.1515151515151516,38.0,33.0,26.9905,FTL,1.462905306613916
IND363310AAB,IND382430AAB,9,1.4097222222222223,203.0,143.0,128.3247,FTL,1.6178295490381582
IND363330AAB,IND363310AAB,7,1.5555555555555556,57.0,37.0,29.5622,FTL,1.7283717018816358
IND363421AAB,IND364710AAA,9,1.8974358974358974,74.0,38.0,54.4647,FTL,1.9104577541663634
IND363520AAC,IND363001AAA,8,1.196003401360544,58.0,49.0,58.01035,FTL,1.5105693176040518
IND363621AAB,IND360002AAB,2,1.7352941176470589,59.0,34.0,39.1379,Carting,2.0444792671166825
IND363641AAA,IND360002AAB,1,1.7941176470588236,122.0,68.0,72.9795,Carting,2.09705193552831
IND363641AAA,IND363621AAB,3,1.4411764705882353,49.0,33.0,33.9582,Carting,1.9120861459337835
IND364004AAB,IND365560AAA,5,1.9473684210526316,148.0,78.0,109.636,FTL,1.9378895764395936
